cluster,isolate,gene,read_count
0,isolate_main,blaKPC,373
0,isolate_main,blaNDM,415
0,isolate_main,blaOXA,324
0,isolate_main,blaVIM,280
0,background_1,blaKPC,414
0,background_1,blaVIM,383
0,background_1,blaNDM,602
0,background_1,blaOXA,410
0,background_2,blaOXA,150
0,background_2,blaVIM,156
0,background_2,blaKPC,149
0,background_2,blaNDM,183
1,isolate_main,blaNDM,420
1,isolate_main,blaOXA,401
1,isolate_main,blaVIM,356
1,isolate_main,blaKPC,372
1,background_1,blaKPC,320
1,background_1,blaOXA,337
1,background_1,blaVIM,343
1,background_1,blaNDM,390
1,background_2,blaKPC,342
1,background_2,blaNDM,376
1,background_2,blaOXA,464
1,background_2,blaVIM,377
2,isolate_main,blaNDM,298
2,isolate_main,blaVIM,255
2,isolate_main,blaKPC,408
2,isolate_main,blaOXA,342
2,background_1,blaNDM,285
2,background_1,blaOXA,308
2,background_1,blaKPC,362
2,background_1,blaVIM,276
2,background_2,blaNDM,189
2,background_2,blaOXA,269
2,background_2,blaVIM,185
2,background_2,blaKPC,252
3,isolate_main,blaNDM,443
3,isolate_main,blaOXA,282
3,isolate_main,blaVIM,334
3,isolate_main,blaKPC,415
3,background_1,blaKPC,148
3,background_1,blaNDM,209
3,background_1,blaOXA,112
3,background_1,blaVIM,162
3,background_2,blaVIM,826
3,background_2,blaKPC,807
3,background_2,blaNDM,960
3,background_2,blaOXA,722
4,isolate_main,blaNDM,374
4,isolate_main,blaKPC,440
4,isolate_main,blaOXA,312
4,isolate_main,blaVIM,431
4,background_1,blaOXA,152
4,background_1,blaVIM,256
4,background_1,blaKPC,211
4,background_1,blaNDM,199
4,background_2,blaKPC,647
4,background_2,blaOXA,635
4,background_2,blaVIM,790
4,background_2,blaNDM,592
5,isolate_main,blaKPC,322
5,isolate_main,blaNDM,323
5,isolate_main,blaOXA,357
5,isolate_main,blaVIM,261
5,background_1,blaKPC,515
5,background_1,blaVIM,508
5,background_1,blaNDM,620
5,background_1,blaOXA,579
5,background_2,blaNDM,121
5,background_2,blaKPC,102
5,background_2,blaOXA,153
5,background_2,blaVIM,109
